PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
0.00,0.00,0.00,24.00,27Q,21652,"Jet Aviation Flight Services, Inc.",01194,D,27Q,"Jet Aviation Flight Services, Inc.",2,2,13232,1323202,30977,MDW,"Chicago, IL",IL,17,Illinois,41,14320,1432004,30977,PWK,"Chicago, IL",IL,17,Illinois,41,2025,1,1,1,L
0.00,0.00,0.00,24.00,27Q,21652,"Jet Aviation Flight Services, Inc.",01194,D,27Q,"Jet Aviation Flight Services, Inc.",2,2,14320,1432004,30977,PWK,"Chicago, IL",IL,17,Illinois,41,13232,1323202,30977,MDW,"Chicago, IL",IL,17,Illinois,41,2025,1,1,1,L
0.00,0.00,0.00,24.00,27Q,21652,"Jet Aviation Flight Services, Inc.",01194,D,27Q,"Jet Aviation Flight Services, Inc.",2,2,15167,1516702,35167,TEB,"Teterboro, NJ",NJ,34,New Jersey,21,12197,1219702,31703,HPN,"White Plains, NY",NY,36,New York,22,2025,1,1,1,L
0.00,0.00,0.00,24.00,GCA,22085,"Global Crossing Airlines, Inc.",01287,D,GCA,"Global Crossing Airlines, Inc.",2,2,14761,1476107,34761,SFB,"Sanford, FL",FL,12,Florida,33,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,2025,1,1,1,L
0.00,0.00,0.00,24.00,K2,21820,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",01212,D,K2,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",1,5,10551,1055102,30113,BET,"Bethel, AK",AK,02,Alaska,1,12831,1283102,32831,KUK,"Kasigluk, AK",AK,02,Alaska,1,2025,1,1,1,L
0.00,0.00,0.00,24.00,LF,21635,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,01189,D,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,1,6,12197,1219702,31703,HPN,"White Plains, NY",NY,36,New York,22,15167,1516702,35167,TEB,"Teterboro, NJ",NJ,34,New Jersey,21,2025,1,1,1,L
0.00,0.00,0.00,24.00,LF,21635,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,01189,D,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,1,6,12574,1257404,30693,TN8,"Nashville, TN",TN,47,Tennessee,54,13461,1346101,33461,MQY,"Smyrna, TN",TN,47,Tennessee,54,2025,1,1,1,L
0.00,0.00,0.00,24.00,YX,20452,Republic Airline,06003,D,YX,Republic Airline,3,3,12264,1226402,30852,IAD,"Washington, DC",VA,51,Virginia,38,11278,1127805,30852,DCA,"Washington, DC",VA,51,Virginia,38,2025,1,1,1,F
0.00,0.00,0.00,25.00,K2,21820,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",01212,D,K2,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",1,5,13710,1371005,33710,NME,"Nightmute, AK",AK,02,Alaska,1,15887,1588703,35887,WWT,"Newtok, AK",AK,02,Alaska,1,2025,1,1,1,F
0.00,0.00,0.00,26.00,KAH,20272,Kenmore Air Harbor,06927,D,KAH,Kenmore Air Harbor,1,6,10559,1055902,30559,BFI,"Seattle, WA",WA,53,Washington,93,14004,1400403,34004,PAE,"Everett, WA",WA,53,Washington,93,2025,1,1,1,F
0.00,0.00,0.00,26.00,KAH,20272,Kenmore Air Harbor,06927,D,KAH,Kenmore Air Harbor,1,6,10559,1055902,30559,BFI,"Seattle, WA",WA,53,Washington,93,14004,1400403,34004,PAE,"Everett, WA",WA,53,Washington,93,2025,1,1,1,L
0.00,0.00,0.00,26.00,KAH,20272,Kenmore Air Harbor,06927,D,KAH,Kenmore Air Harbor,1,6,14004,1400403,34004,PAE,"Everett, WA",WA,53,Washington,93,10559,1055902,30559,BFI,"Seattle, WA",WA,53,Washington,93,2025,1,1,1,F
0.00,0.00,0.00,26.00,KAH,20272,Kenmore Air Harbor,06927,D,KAH,Kenmore Air Harbor,1,6,14004,1400403,34004,PAE,"Everett, WA",WA,53,Washington,93,10559,1055902,30559,BFI,"Seattle, WA",WA,53,Washington,93,2025,1,1,1,L
0.00,0.00,0.00,28.00,LF,21635,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,01189,D,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,1,6,11764,1176405,31764,FRG,"East Farmingdale, NY",NY,36,New York,22,12197,1219702,31703,HPN,"White Plains, NY",NY,36,New York,22,2025,1,1,1,L
0.00,0.00,0.00,29.00,27Q,21652,"Jet Aviation Flight Services, Inc.",01194,D,27Q,"Jet Aviation Flight Services, Inc.",2,2,14831,1483106,32457,SJC,"San Jose, CA",CA,06,California,91,13796,1379610,32457,OAK,"Oakland, CA",CA,06,California,91,2025,1,1,1,L
0.00,0.00,0.00,29.00,K2,21820,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",01212,D,K2,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",1,5,15798,1579802,35798,WNA,"Napakiak, AK",AK,02,Alaska,1,10241,1024102,30241,AKI,"Akiak, AK",AK,02,Alaska,1,2025,1,1,1,F
0.00,0.00,0.00,30.00,UA,19977,United Air Lines Inc.,0A875,D,UA,United Air Lines Inc.,3,3,14831,1483106,32457,SJC,"San Jose, CA",CA,06,California,91,14771,1477104,32457,SFO,"San Francisco, CA",CA,06,California,91,2025,1,1,1,F
0.00,0.00,0.00,30.00,YX,20452,Republic Airline,06003,D,YX,Republic Airline,3,3,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,11278,1127805,30852,DCA,"Washington, DC",VA,51,Virginia,38,2025,1,1,1,F
0.00,0.00,0.00,31.00,XP,20207,TEM Enterprises dba  Avelo Airlines,06144,D,XP,TEM Enterprises dba  Avelo Airlines,2,2,12882,1288204,33195,LAL,"Lakeland, FL",FL,12,Florida,33,15304,1530402,33195,TPA,"Tampa, FL",FL,12,Florida,33,2025,1,1,1,L
0.00,0.00,0.00,31.00,XP,20207,TEM Enterprises dba  Avelo Airlines,06144,D,XP,TEM Enterprises dba  Avelo Airlines,2,2,15304,1530402,33195,TPA,"Tampa, FL",FL,12,Florida,33,12882,1288204,33195,LAL,"Lakeland, FL",FL,12,Florida,33,2025,1,1,1,L
0.00,0.00,0.00,33.00,K2,21820,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",01212,D,K2,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",1,5,11492,1149202,31492,EEK,"Eek, AK",AK,02,Alaska,1,15798,1579802,35798,WNA,"Napakiak, AK",AK,02,Alaska,1,2025,1,1,1,F
0.00,0.00,0.00,35.00,27Q,21652,"Jet Aviation Flight Services, Inc.",01194,D,27Q,"Jet Aviation Flight Services, Inc.",2,2,13034,1303402,33034,LNY,"Lanai, HI",HI,15,Hawaii,2,13830,1383002,33830,OGG,"Kahului, HI",HI,15,Hawaii,2,2025,1,1,1,L
0.00,0.00,0.00,36.00,C5,20445,CommuteAir LLC dba CommuteAir,06944,D,C5,CommuteAir LLC dba CommuteAir,2,2,12206,1220605,32206,HRL,"Harlingen/San Benito, TX",TX,48,Texas,74,13256,1325603,33256,MFE,"Mission/McAllen/Edinburg, TX",TX,48,Texas,74,2025,1,1,1,F
0.00,0.00,0.00,36.00,UA,19977,United Air Lines Inc.,0A875,D,UA,United Air Lines Inc.,3,3,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,14908,1490803,32575,SNA,"Santa Ana, CA",CA,06,California,91,2025,1,1,1,F
0.00,0.00,0.00,36.00,UA,19977,United Air Lines Inc.,0A875,D,UA,United Air Lines Inc.,3,3,14908,1490803,32575,SNA,"Santa Ana, CA",CA,06,California,91,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,2025,1,1,1,F
0.00,0.00,0.00,37.00,KAH,20272,Kenmore Air Harbor,06927,D,KAH,Kenmore Air Harbor,1,6,12652,1265201,30559,KEH,"Kenmore, WA",WA,53,Washington,93,15220,1522002,31979,TIW,"Tacoma, WA",WA,53,Washington,93,2025,1,1,1,L
0.00,0.00,0.00,37.00,KAH,20272,Kenmore Air Harbor,06927,D,KAH,Kenmore Air Harbor,1,6,15220,1522002,31979,TIW,"Tacoma, WA",WA,53,Washington,93,12652,1265201,30559,KEH,"Kenmore, WA",WA,53,Washington,93,2025,1,1,1,L
0.00,0.00,0.00,39.00,K2,21820,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",01212,D,K2,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",1,5,14130,1413003,34130,PKA,"Napaskiak, AK",AK,02,Alaska,1,15257,1525706,35257,TLT,"Tuluksak, AK",AK,02,Alaska,1,2025,1,1,1,F
